Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity ,Order ID
Low,20.99,0.99,844,Eddie Li,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory21,East,Maine,Westbrook,23/08/2012,01/09/2012,21,89367
Low,100.98,15.66,845,Maureen Bradley,Delivery Truck,Corporate,Office Supplies,Appliances,Jumbo Drum,Avanti 1.7 Cu. Ft. Refrigerator,East,Massachusetts,Boston,22/10/2013,22/10/2013,19,89371
Low,205.99,5,846,Kyle Goodman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Phone 918,East,Massachusetts,Groton,23/08/2012,30/08/2012,19,89367
Low,113.98,30,847,Bill O'Neill,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Comfortask® Task/Swivel Chairs,East,Massachusetts,Northampton,19/06/2013,21/06/2013,2,89369
Not Specified,114.98,58.72,848,Jennifer Brandon,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Sauder Camden County Collection Libraries, Planked Cherry Finish",East,New Hampshire,Rochester,14/12/2012,17/12/2012,17,89368
Not Specified,6.08,0.91,850,Jesse Hutchinson,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Zebra Zazzle Fluorescent Highlighters,West,California,Goleta,07/09/2010,08/09/2010,7,88569
Critical,40.97,8.99,850,Jesse Hutchinson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,West,California,Goleta,16/07/2012,18/07/2012,9,88573
Low,50.98,22.24,851,Helen H Heller,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,"Dana Fluorescent Magnifying Lamp, White, 36""",West,California,Hacienda Heights,25/02/2010,27/02/2010,6,88568
Not Specified,19.9,5.29,851,Helen H Heller,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",West,California,Hacienda Heights,07/09/2010,09/09/2010,13,88569
Not Specified,3.36,6.27,851,Helen H Heller,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,West,California,Hacienda Heights,07/09/2010,09/09/2010,21,88569
Critical,1.26,0.7,851,Helen H Heller,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Bagged Rubber Bands,West,California,Hacienda Heights,31/10/2010,31/10/2010,4,88571
Medium,3.89,7.01,851,Helen H Heller,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Avery Binder Labels,West,California,Hacienda Heights,13/08/2013,13/08/2013,25,88575
Not Specified,7.1,6.05,852,Virginia Mason Klein,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Hanging View Binder, White, 1""",West,California,Hemet,04/10/2013,04/10/2013,9,88578
Not Specified,17.78,5.03,852,Virginia Mason Klein,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Seth Thomas 13 1/2"" Wall Clock",West,California,Hemet,04/10/2013,05/10/2013,10,88578
High,4.24,5.41,853,Leah Davenport,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,West,California,Hesperia,16/09/2010,18/09/2010,12,88570
Medium,550.98,45.7,853,Leah Davenport,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,West,California,Hesperia,22/05/2012,23/05/2012,19,88572
Not Specified,10.91,2.99,853,Leah Davenport,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Heavy-Duty E-Z-D® Binders,West,California,Hesperia,15/03/2013,17/03/2013,5,88574
High,16.98,12.39,853,Leah Davenport,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Brown Kraft Recycled Envelopes,West,California,Hesperia,16/09/2013,18/09/2013,14,88577
Critical,1.76,0.7,854,Karen Hendricks,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,East,Connecticut,Branford,31/10/2010,02/11/2010,22,88571
Critical,24.98,8.79,855,Jacob Lanier,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,2300 Heavy-Duty Transfer File Systems by Perma,East,Connecticut,Danbury,31/10/2010,01/11/2010,23,88571
Not Specified,30.98,19.51,856,Carla S Austin,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Staples Colored Interoffice Envelopes,East,Connecticut,Wallingford,04/10/2013,04/10/2013,8,88578
High,15.57,1.39,857,Mildred Peacock,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,East,Maine,Augusta,27/08/2013,28/08/2013,2,88576
Not Specified,4.28,6.72,857,Mildred Peacock,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1927,East,Maine,Augusta,04/10/2013,04/10/2013,9,88578
Critical,35.99,5.99,858,Arthur Brady,Express Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory41,East,Maine,Lewiston,31/10/2010,02/11/2010,2,88571
High,2.61,0.5,859,Denise Arthur,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 494,East,New Hampshire,Goffstown,27/08/2013,29/08/2013,7,88576
High,60.98,49,860,Eugene Simmons,Regular Air,Small Business,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,East,Vermont,South Burlington,27/08/2013,29/08/2013,8,88576
High,180.98,26.2,862,Vivian Hodge,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global Ergonomic Managers Chair,Central,Texas,Texarkana,14/09/2011,16/09/2011,7,90453
High,216.6,64.2,862,Vivian Hodge,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Multipurpose Stacking Arm Chairs,Central,Texas,Texarkana,14/09/2011,16/09/2011,17,90453
High,39.48,3.99,862,Vivian Hodge,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Central,Texas,Texarkana,06/07/2012,06/07/2012,4,90454
Not Specified,142.86,19.99,862,Vivian Hodge,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Letter Size Cart,Central,Texas,Texarkana,28/10/2012,29/10/2012,9,90456
High,6.6,4.07,862,Vivian Hodge,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"3.5"" IBM Formatted Diskettes, DS/HD",Central,Texas,Texarkana,14/09/2013,17/09/2013,9,90458
High,39.98,9.2,862,Vivian Hodge,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Central,Texas,Texarkana,28/09/2013,30/09/2013,22,90459
Not Specified,8.67,3.5,863,Sharon Dickinson,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Staples 4 Outlet Surge Protector,Central,Texas,Texas City,07/09/2012,09/09/2012,23,90455
Not Specified,1.88,1.49,863,Sharon Dickinson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,Central,Texas,Texas City,28/10/2012,29/10/2012,10,90456
Not Specified,21.38,8.99,863,Sharon Dickinson,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,Central,Texas,Texas City,28/10/2012,30/10/2012,17,90456
Critical,4.98,4.95,863,Sharon Dickinson,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Cardinal Holdit Business Card Pockets,Central,Texas,Texas City,17/12/2012,17/12/2012,14,90457
Critical,500.98,28.14,863,Sharon Dickinson,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Central,Texas,Texas City,17/12/2012,19/12/2012,6,90457
Critical,10.98,3.37,863,Sharon Dickinson,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,Central,Texas,Texas City,17/12/2012,17/12/2012,21,90457
Critical,14.2,5.3,865,Dana Burgess,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,Central,Indiana,East Chicago,27/05/2010,28/05/2010,18,90674
Low,6.48,5.16,865,Dana Burgess,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1985,Central,Indiana,East Chicago,26/08/2010,02/09/2010,12,90675
Medium,2.89,0.49,866,Joyce Knowles,Regular Air,Corporate,Office Supplies,Labels,Small Box,*Staples* Packaging Labels,Central,Indiana,Elkhart,02/03/2011,03/03/2011,3,90676
Medium,41.32,8.66,866,Joyce Knowles,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Central,Indiana,Elkhart,02/03/2011,05/03/2011,9,90676
Medium,8.95,2.01,866,Joyce Knowles,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Central,Indiana,Elkhart,02/03/2011,03/03/2011,3,90676
High,19.98,5.97,866,Joyce Knowles,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1936,Central,Indiana,Elkhart,26/09/2012,28/09/2012,23,90677
Not Specified,29.18,8.55,868,Sharon Ellis,Express Air,Corporate,Furniture,Office Furnishings,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Central,Minnesota,Shoreview,25/02/2010,27/02/2010,10,91194
Not Specified,80.98,35,868,Sharon Ellis,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,"Carina 42""Hx23 3/4""W Media Storage Unit",Central,Minnesota,Shoreview,25/02/2010,27/02/2010,8,91194
Critical,6.48,8.88,868,Sharon Ellis,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 224,Central,Minnesota,Shoreview,06/09/2010,07/09/2010,20,91195
Critical,349.45,60,868,Sharon Ellis,Delivery Truck,Corporate,Furniture,Tables,Jumbo Drum,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Central,Minnesota,Shoreview,06/09/2010,07/09/2010,12,91195
Critical,65.99,8.99,868,Sharon Ellis,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V 3600 Series,Central,Minnesota,Shoreview,28/06/2011,29/06/2011,3,91196
Critical,12.22,2.85,868,Sharon Ellis,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,Aluminum Document Frame,Central,Minnesota,Shoreview,12/04/2013,13/04/2013,3,91197
Critical,54.96,10.75,868,Sharon Ellis,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1940,Central,Minnesota,Shoreview,12/04/2013,13/04/2013,8,91197
Critical,122.99,70.2,868,Sharon Ellis,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",Central,Minnesota,Shoreview,06/09/2013,09/09/2013,23,91198
Critical,6.68,5.66,868,Sharon Ellis,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1923,Central,Minnesota,Shoreview,13/09/2013,14/09/2013,16,91199
Not Specified,30.98,6.5,870,Hugh Brock,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Belkin ErgoBoard™ Keyboard,Central,Michigan,Owosso,29/10/2011,31/10/2011,4,90581
Not Specified,14.2,5.3,871,Sandy Ellington,Regular Air,Home Office,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,West,Nevada,Reno,15/03/2010,17/03/2010,2,90577
Not Specified,5.94,9.92,871,Sandy Ellington,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Storex Dura Pro™ Binders,West,Nevada,Reno,20/05/2010,23/05/2010,12,90578
Not Specified,6.48,5.11,871,Sandy Ellington,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 231,West,Nevada,Reno,20/05/2010,22/05/2010,18,90578
Low,67.28,19.99,871,Sandy Ellington,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Catalog Binders with Expanding Posts,West,Nevada,Reno,28/04/2011,05/05/2011,11,90579
Not Specified,2.47,1.02,871,Sandy Ellington,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Staples Paper Clips,West,Nevada,Reno,21/05/2011,22/05/2011,16,90580
Not Specified,120.98,56.7,871,Sandy Ellington,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Nevada,Reno,29/10/2011,31/10/2011,14,90581
Not Specified,7.3,7.72,871,Sandy Ellington,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Angle-D Binders with Locking Rings, Label Holders",West,Nevada,Reno,21/05/2013,22/05/2013,16,90582
High,8.5,1.99,873,Robyn Goodwin,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Hewlett-Packard 4.7GB DVD+R Discs,Central,Kansas,Prairie Village,14/04/2013,16/04/2013,5,89063
High,7.4,1.71,873,Robyn Goodwin,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Central,Kansas,Prairie Village,14/04/2013,16/04/2013,2,89063
High,4.26,1.2,873,Robyn Goodwin,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Central,Kansas,Prairie Village,14/04/2013,15/04/2013,1,89063
Low,50.98,14.19,874,Andrew Beard,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Deluxe Stacking Chair, Gray",East,New York,Roosevelt,30/03/2011,08/04/2011,9,89060
Critical,46.94,6.77,874,Andrew Beard,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",East,New York,Roosevelt,30/01/2013,01/02/2013,10,89062
Low,15.31,8.78,874,Andrew Beard,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,East,New York,Roosevelt,26/07/2013,02/08/2013,11,89064
High,4.37,5.15,875,Erika Fink,Regular Air,Small Business,Office Supplies,Appliances,Small Box,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",West,Utah,Salt Lake City,21/08/2010,22/08/2010,18,89059
High,155.99,8.99,875,Erika Fink,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,CF 688,West,Utah,Salt Lake City,21/08/2010,23/08/2010,4,89059
Not Specified,8.04,8.94,875,Erika Fink,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",West,Utah,Salt Lake City,02/10/2011,03/10/2011,10,89061
Not Specified,31.74,12.62,877,Christian Branch,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Wire Binding Strips,Central,Oklahoma,Mustang,14/03/2013,16/03/2013,5,91383
Medium,15.57,1.39,877,Christian Branch,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,Central,Oklahoma,Mustang,16/03/2013,17/03/2013,4,91384
High,70.98,26.74,877,Christian Branch,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Black",Central,Oklahoma,Mustang,28/09/2013,30/09/2013,14,91385
High,48.04,7.23,878,Alan Briggs,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1885,East,Vermont,Rutland,28/09/2013,30/09/2013,8,91385
Critical,5.68,1.39,880,Ellen Beck,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Staples Standard Envelopes,West,Arizona,Scottsdale,25/03/2010,27/03/2010,5,86153
Critical,22.84,11.54,880,Ellen Beck,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1964,West,Arizona,Scottsdale,25/03/2010,27/03/2010,1,86153
Medium,599.99,24.49,880,Ellen Beck,Regular Air,Small Business,Technology,Copiers and Fax,Large Box,Canon PC1080F Personal Copier,West,Arizona,Scottsdale,25/05/2012,26/05/2012,11,86156
Medium,6.69,3.1,880,Ellen Beck,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",West,Arizona,Scottsdale,25/05/2012,27/05/2012,6,86156
Critical,34.98,7.53,880,Ellen Beck,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Fellowes EZ Multi-Media Keyboard,West,Arizona,Scottsdale,26/03/2013,29/03/2013,1,86158
High,5.58,5.3,881,Jerry Barnes Nelson,Express Air,Small Business,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,West,Arizona,Sierra Vista,24/05/2011,25/05/2011,7,86154
Critical,11.99,5.99,881,Jerry Barnes Nelson,Express Air,Small Business,Technology,Office Machines,Medium Box,TI 30X Scientific Calculator,West,Arizona,Sierra Vista,07/05/2012,08/05/2012,17,86155
Critical,10.48,6.91,881,Jerry Barnes Nelson,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Sterilite Officeware Hinged File Box,West,Arizona,Sierra Vista,02/01/2013,03/01/2013,7,86157
Low,499.99,24.49,883,Alex Harding,Express Air,Home Office,Technology,Copiers and Fax,Large Box,Sharp AL-1530CS Digital Copier,West,California,Atascadero,15/09/2011,22/09/2011,21,89543
High,2.88,0.5,883,Alex Harding,Regular Air,Home Office,Furniture,Tables,Jumbo Box,Bretford CR8500 Series Meeting Room Furniture,West,California,Atascadero,05/07/2012,07/07/2012,2,89545
Medium,16.98,12.39,883,Alex Harding,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,West,California,Atascadero,20/09/2013,22/09/2013,4,89558
Critical,113.64,35,883,Alex Harding,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon Expressions Mahogany Wood Desk Collection,West,California,Atascadero,27/10/2013,28/10/2013,11,89560
High,140.99,13.99,883,Alex Harding,Regular Air,Home Office,Technology,Office Machines,Medium Box,Canon MP100DHII Printing Calculator,West,California,Atascadero,14/11/2013,14/11/2013,43,89563
Medium,5.84,1.2,884,Kristina Grimes,Express Air,Corporate,Furniture,Office Furnishings,Medium Box,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,East,Maryland,Camp Springs,16/05/2013,16/05/2013,11,89554
Critical,25.98,14.36,885,Malcolm Robertson,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Stack Chair without Arms, Black",Central,Texas,Amarillo,24/11/2010,25/11/2010,41,89537
Not Specified,49.34,10.25,885,Malcolm Robertson,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Electrix Fluorescent Magnifier Lamps & Weighted Base,Central,Texas,Amarillo,20/05/2013,22/05/2013,7,89555
Not Specified,10.06,2.06,885,Malcolm Robertson,Regular Air,Consumer,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,Central,Texas,Amarillo,20/05/2013,22/05/2013,6,89555
Critical,140.98,53.48,885,Malcolm Robertson,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Central,Texas,Amarillo,31/10/2013,01/11/2013,7,89561
Critical,172.99,19.99,885,Malcolm Robertson,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Central,Texas,Amarillo,31/10/2013,02/11/2013,1,89561
Low,6.6,4.07,886,Betty Barbour,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"3.5"" IBM Formatted Diskettes, DS/HD",Central,Texas,Arlington,17/08/2011,26/08/2011,12,89542
Low,48.04,7.23,886,Betty Barbour,Express Air,Home Office,Furniture,Office Furnishings,Small Box,Staples Plastic Wall Frames,Central,Texas,Arlington,17/08/2011,19/08/2011,17,89542
Low,208.16,68.02,886,Betty Barbour,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Bevis Steel Folding Chairs,Central,Texas,Arlington,12/12/2011,17/12/2011,22,89544
Low,24.98,8.79,886,Betty Barbour,Regular Air,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Deluxe Stacking Chair, Gray",Central,Texas,Arlington,12/12/2011,16/12/2011,1,89544
Low,3.36,6.27,886,Betty Barbour,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,"Dana Fluorescent Magnifying Lamp, White, 36""",Central,Texas,Arlington,12/12/2011,17/12/2011,4,89544
Not Specified,3.28,3.97,886,Betty Barbour,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Tensor Computer Mounted Lamp,Central,Texas,Arlington,05/02/2013,07/02/2013,6,89551
Medium,39.48,1.99,887,Cindy Hinton,Express Air,Corporate,Technology,Computer Peripherals,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Central,Texas,Austin,15/09/2012,17/09/2012,10,89546
Medium,17.67,8.99,887,Cindy Hinton,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,"Executive Impressions 12"" Wall Clock",Central,Texas,Austin,15/09/2012,16/09/2012,12,89546
Medium,1.88,1.49,887,Cindy Hinton,Regular Air,Corporate,Furniture,Tables,Jumbo Box,Global Adaptabilities™ Conference Tables,Central,Texas,Austin,15/09/2012,16/09/2012,18,89546
Medium,28.48,1.99,887,Cindy Hinton,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Central,Texas,Austin,29/03/2013,31/03/2013,13,89553
High,4.98,4.95,887,Cindy Hinton,Regular Air,Consumer,Furniture,Bookcases,Jumbo Box,Bush Mission Pointe Library,Central,Texas,Austin,14/08/2013,16/08/2013,7,89557
Not Specified,200.99,4.2,887,Cindy Hinton,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,2160i,Central,Texas,Austin,09/11/2013,11/11/2013,6,89562
High,60.98,19.99,888,Phyllis Adcock,Express Air,Consumer,Furniture,Tables,Large Box,Hon 4060 Series Tables,Central,Texas,Baytown,14/08/2011,16/08/2011,14,89541
Low,26.64,5.3,888,Phyllis Adcock,Regular Air,Consumer,Furniture,Chairs & Chairmats,Medium Box,SAFCO Optional Arm Kit for Workspace® Cribbage Stacking Chair,Central,Texas,Baytown,07/07/2013,09/07/2013,12,89556
Low,3.08,0.99,888,Phyllis Adcock,Regular Air,Consumer,Furniture,Office Furnishings,Medium Box,DAX Solid Wood Frames,Central,Texas,Baytown,07/07/2013,09/07/2013,5,89556
Not Specified,130.98,54.74,888,Phyllis Adcock,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",Central,Texas,Baytown,24/09/2013,26/09/2013,18,89559
Not Specified,1.74,4.08,889,Elsie G Ferguson,Express Air,Home Office,Furniture,Office Furnishings,Small Pack,"Eldon Regeneration Recycled Desk Accessories, Smoke",Central,Texas,Beaumont,21/02/2011,23/02/2011,7,89538
High,1.68,0.7,889,Elsie G Ferguson,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Central,Texas,Beaumont,05/03/2011,06/03/2011,8,89539
Medium,39.06,10.55,889,Elsie G Ferguson,Regular Air,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Central,Texas,Beaumont,10/03/2011,10/03/2011,5,89540
Not Specified,6.48,9.68,889,Elsie G Ferguson,Regular Air,Home Office,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Putty",Central,Texas,Beaumont,01/11/2012,01/11/2012,33,89547
Medium,5.98,4.38,889,Elsie G Ferguson,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Central,Texas,Beaumont,26/01/2013,28/01/2013,8,89550
Medium,6.48,9.68,889,Elsie G Ferguson,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Central,Texas,Beaumont,26/01/2013,28/01/2013,3,89550
Low,26.38,5.58,889,Elsie G Ferguson,Regular Air,Consumer,Furniture,Office Furnishings,Jumbo Drum,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Central,Texas,Beaumont,17/03/2013,21/03/2013,7,89552
Critical,1.81,0.75,890,Billie Fowler,Regular Air,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Central,Texas,Bedford,05/01/2010,06/01/2010,11,89536
Critical,125.99,5.26,890,Billie Fowler,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,232,Central,Texas,Bedford,05/01/2010,05/01/2010,6,89536
Not Specified,3.29,1.35,890,Billie Fowler,Regular Air,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,Central,Texas,Bedford,01/11/2012,02/11/2012,40,89547
Not Specified,8.46,3.62,890,Billie Fowler,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Central,Texas,Bedford,03/01/2013,04/01/2013,10,89548
Critical,20.98,53.03,890,Billie Fowler,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Central,Texas,Bedford,05/01/2013,07/01/2013,8,89549
Critical,279.48,35,890,Billie Fowler,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,Central,Texas,Bedford,05/01/2013,05/01/2013,13,89549
Critical,4.91,5.68,890,Billie Fowler,Regular Air,Consumer,Furniture,Tables,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Central,Texas,Bedford,05/01/2013,06/01/2013,13,89549
High,4.13,0.5,892,Marilyn Baxter,Regular Air,Consumer,Office Supplies,Labels,Small Box,Avery 506,Central,Minnesota,Prior Lake,19/05/2013,20/05/2013,10,89474
High,20.99,1.25,893,Mike Wilder,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Accessory29,West,Nevada,Sparks,19/05/2012,21/05/2012,13,89473
High,20.98,45,893,Mike Wilder,Delivery Truck,Consumer,Office Supplies,Storage & Organization,Jumbo Drum,"Tennsco Lockers, Sand",West,Nevada,Sparks,19/05/2013,19/05/2013,15,89474
Low,14.45,7.17,893,Mike Wilder,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",West,Nevada,Sparks,28/10/2013,28/10/2013,20,89475
Critical,8.34,0.96,894,Gail Rankin Cole,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,East,District of Columbia,Washington,10/01/2010,12/01/2010,24,14596
Critical,3.28,3.97,894,Gail Rankin Cole,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,East,District of Columbia,Washington,10/01/2010,11/01/2010,19,14596
Low,1.14,0.7,894,Gail Rankin Cole,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,OIC Thumb-Tacks,East,District of Columbia,Washington,02/02/2010,02/02/2010,38,38529
