Order Priority,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Region,State or Province,City,Order Date,Ship Date,Quantity,Order ID,SalesAmountWithoutShipping,SalesAmountWithShipping
Medium,20.99,0.99,200,Martha Pridgen,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory15,West,Arizona,El Mirage,2012-01-27,2012-01-29,5,91141,104.94999999999999,105.93999999999998
Critical,20.98,53.03,200,Martha Pridgen,Delivery Truck,Home Office,Office Supplies,Storage & Organization,Jumbo Drum,"Tennsco Lockers, Gray",West,Arizona,El Mirage,2013-03-18,2013-03-20,5,91142,104.9,157.93
Critical,11.58,5.72,200,Martha Pridgen,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",West,Arizona,El Mirage,2013-02-09,2013-03-09,2,91143,23.16,28.88
Critical,30.98,8.74,200,Martha Pridgen,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1979,West,Arizona,El Mirage,2013-02-09,2013-04-09,8,91143,247.84,256.58
Not Specified,12.28,4.86,202,Max Small,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1933,Central,Oklahoma,Bartlesville,2010-04-27,2010-04-28,3,88971,36.839999999999996,41.699999999999996
High,7.37,5.53,202,Max Small,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Central,Oklahoma,Bartlesville,2010-07-16,2010-07-18,11,88972,81.07000000000001,86.60000000000001
Medium,85.99,10.78,202,Max Small,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,3395,Central,Oklahoma,Bartlesville,2011-10-02,2011-02-13,5,88973,429.95,440.72999999999996
Not Specified,9.77,6.02,204,Bob Epstein,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,DAX Solid Wood Frames,Central,Texas,Dallas,2011-05-16,2011-05-16,3,89236,29.31,35.33
Not Specified,5.98,5.2,204,Bob Epstein,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1992,Central,Texas,Dallas,2011-05-16,2011-05-17,14,89236,83.72,88.92
Medium,99.99,19.99,204,Bob Epstein,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,U.S. Robotics 56K Internet Call Modem,Central,Texas,Dallas,2012-10-04,2012-12-04,13,89237,1299.87,1319.86
Medium,55.5,52.2,204,Bob Epstein,Regular Air,Corporate,Furniture,Office Furnishings,Medium Box,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Central,Texas,Dallas,2012-10-04,2012-11-04,13,89237,721.5,773.7
Medium,33.29,8.74,204,Bob Epstein,Express Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Bases and Tops For Staxonsteel®/High-Stak® Systems,Central,Texas,Dallas,2012-10-04,2012-12-04,3,89237,99.87,108.61
Critical,12.88,4.59,204,Bob Epstein,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,Martin-Yale Premier Letter Opener,Central,Texas,Dallas,2012-05-24,2012-05-25,16,89238,206.08,210.67000000000002
Critical,65.99,8.99,205,Priscilla Owen,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Talkabout T8367,Central,Texas,Deer Park,2012-08-30,2012-02-09,14,89239,923.8599999999999,932.8499999999999
Low,15.98,4.0,207,Toni Olsen,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,West,California,Petaluma,2012-01-21,2012-01-21,7,89282,111.86,115.86
Not Specified,5.89,5.57,208,Tammy Brandon,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Eldon Wave Desk Accessories,West,California,Pico Rivera,2013-01-03,2013-03-03,1,89283,5.89,11.46
Low,1.8599999999999999,2.58,210,Floyd Dale,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Super Bands, 12/Pack",East,New York,Troy,2010-07-17,2010-07-21,9,85965,16.74,19.32
Medium,5.4,7.78,210,Floyd Dale,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,3M Organizer Strips,East,New York,Troy,2010-02-12,2010-02-12,4,85966,21.6,29.380000000000003
Medium,20.28,6.68,210,Floyd Dale,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,"Seth Thomas 8 1/2"" Cubicle Clock",East,New York,Troy,2010-02-12,2010-02-12,3,85966,60.84,67.52000000000001
Medium,11.55,2.36,210,Floyd Dale,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,East,New York,Troy,2010-02-12,2010-03-12,5,85966,57.75,60.11
Low,376.13,85.63,210,Floyd Dale,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bretford Rectangular Conference Table Tops,East,New York,Troy,2011-07-16,2011-07-23,6,85968,2256.7799999999997,2342.41
Medium,10.94,1.3900000000000001,210,Floyd Dale,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",East,New York,Troy,2011-12-30,2011-12-30,2,85971,21.88,23.27
Not Specified,4.98,4.62,210,Floyd Dale,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",East,New York,Troy,2012-10-20,2012-10-22,12,85973,59.760000000000005,64.38000000000001
Medium,10.06,2.06,211,Anna Wood,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,East,New York,Utica,2010-06-07,2010-08-07,2,85964,20.12,22.18
Medium,65.99,5.92,211,Anna Wood,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,252,East,New York,Utica,2010-06-07,2010-08-07,3,85964,197.96999999999997,203.88999999999996
Medium,2.08,2.56,211,Anna Wood,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,East,New York,Utica,2010-02-12,2010-03-12,20,85966,41.6,44.160000000000004
Critical,200.99,4.2,211,Anna Wood,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,2160i,East,New York,Utica,2013-02-21,2013-02-22,3,85974,602.97,607.1700000000001
Medium,155.99,8.99,211,Anna Wood,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,CF 688,East,New York,Utica,2013-06-07,2013-07-07,14,85975,2183.86,2192.85
Critical,31.76,45.51,211,Anna Wood,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon iLevel™ Computer Training Table,East,New York,Utica,2013-07-18,2013-07-20,15,85976,476.40000000000003,521.9100000000001
Medium,64.65,35.0,211,Anna Wood,Express Air,Consumer,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,East,New York,Utica,2013-12-11,2013-11-14,9,85978,581.85,616.85
Critical,40.97,8.99,212,Milton Clarke,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,Sanford 52201 APSCO Electric Pencil Sharpener,East,New York,Valley Stream,2011-02-21,2011-02-22,11,85967,450.66999999999996,459.65999999999997
Not Specified,22.72,8.99,212,Milton Clarke,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",East,New York,Valley Stream,2011-07-27,2011-07-29,14,85969,318.08,327.07
Not Specified,5.84,1.2,212,Milton Clarke,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,East,New York,Valley Stream,2011-09-20,2011-09-22,6,85970,35.04,36.24
Not Specified,145.98,46.2,212,Milton Clarke,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Bevis Rectangular Conference Tables,East,New York,Valley Stream,2012-12-02,2012-02-14,10,85972,1459.8,1506.0
Not Specified,16.91,6.25,212,Milton Clarke,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",East,New York,Valley Stream,2013-09-20,2013-09-21,4,85977,67.64,73.89
High,63.98,11.55,214,Jose Gates Rodriguez,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind P50 Personal Binding Machine,Central,Missouri,Overland,2011-07-21,2011-07-22,9,88050,575.8199999999999,587.3699999999999
High,22.01,5.53,214,Jose Gates Rodriguez,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16801 Nautilus™ Battery Pencil Sharpener,Central,Missouri,Overland,2011-07-21,2011-07-22,4,88050,88.04,93.57000000000001
High,120.33,19.99,214,Jose Gates Rodriguez,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,Iceberg Mobile Mega Data/Printer Cart ®,Central,Missouri,Overland,2011-07-21,2011-07-21,13,88050,1564.29,1584.28
Not Specified,8.85,5.6,214,Jose Gates Rodriguez,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Plastic Binding Systems Combs,Central,Missouri,Overland,2012-11-27,2012-11-29,12,88055,106.19999999999999,111.79999999999998
Not Specified,7.96,4.95,214,Jose Gates Rodriguez,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Staples Plastic Wall Frames,Central,Missouri,Overland,2012-11-27,2012-11-29,1,88055,7.96,12.91
Not Specified,4.84,0.71,215,Vicki O'Donnell,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,West,Utah,Logan,2013-02-19,2013-02-21,3,88056,14.52,15.23
Not Specified,20.99,3.3,215,Vicki O'Donnell,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Accessory39,West,Utah,Logan,2013-02-06,2013-04-06,12,88057,251.88,255.18
Critical,22.23,5.08,215,Vicki O'Donnell,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14""",West,Utah,Logan,2013-12-21,2013-12-22,4,88059,88.92,94.0
High,4.98,0.49,216,Tonya B Horne,Express Air,Consumer,Office Supplies,Labels,Small Box,Avery White Multi-Purpose Labels,West,Utah,Magna,2011-06-06,2011-06-06,11,88049,54.78,55.27
Low,55.98,4.86,216,Tonya B Horne,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1908,West,Utah,Magna,2012-02-22,2012-02-28,1,88052,55.98,60.839999999999996
Low,26.38,5.86,216,Tonya B Horne,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1935,West,Utah,Magna,2012-02-22,2012-02-26,7,88052,184.66,190.52
Low,155.06,7.07,216,Tonya B Horne,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",West,Utah,Magna,2012-02-22,2012-02-26,7,88052,1085.42,1092.49
Low,55.99,5.0,217,Billy Odom,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory6,West,Utah,Midvale,2011-09-13,2011-09-20,9,88051,503.91,508.91
High,3.14,1.1400000000000001,217,Billy Odom,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"Adams ""While You Were Out"" Message Pads",West,Utah,Midvale,2012-06-16,2012-06-17,18,88053,56.52,57.660000000000004
High,3.5700000000000003,4.17,217,Billy Odom,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Barrel Sharpener,West,Utah,Midvale,2012-06-16,2012-06-18,8,88053,28.560000000000002,32.730000000000004
Critical,7.3,7.72,217,Billy Odom,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Angle-D Binders with Locking Rings, Label Holders",West,Utah,Midvale,2012-09-15,2012-09-17,17,88054,124.1,131.82
Critical,29.89,1.99,217,Billy Odom,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",West,Utah,Midvale,2012-09-15,2012-09-17,7,88054,209.23000000000002,211.22000000000003
Critical,2.7800000000000002,1.49,217,Billy Odom,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Suede Grain Vinyl Binders,West,Utah,Midvale,2013-08-28,2013-08-29,12,88058,33.36,34.85
Medium,119.99,56.14,218,Frances Saunders,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,Hewlett-Packard 2600DN Business Color Inkjet Printer,West,Utah,Murray,2010-09-12,2010-11-12,6,88048,719.9399999999999,776.0799999999999
High,2.84,0.93,220,Jacob Kirby,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,Central,Illinois,Oak Forest,2012-06-05,2012-07-05,9,87230,25.56,26.49
High,125.99,7.69,220,Jacob Kirby,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Timeport L7089,Central,Illinois,Oak Forest,2012-08-31,2012-01-09,5,87232,629.9499999999999,637.64
Not Specified,8.33,1.99,221,Colleen Wilcox,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Central,Illinois,Oak Lawn,2011-06-27,2011-06-28,12,87229,99.96000000000001,101.95
Not Specified,8.69,2.99,221,Colleen Wilcox,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Central,Illinois,Oak Lawn,2012-08-07,2012-10-07,2,87231,17.38,20.369999999999997
High,3.75,0.5,221,Colleen Wilcox,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 510,Central,Illinois,Oak Lawn,2012-08-31,2012-02-09,25,87232,93.75,94.25
High,12.28,6.47,221,Colleen Wilcox,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1881,Central,Illinois,Oak Lawn,2012-08-31,2012-02-09,1,87232,12.28,18.75
High,155.99,8.99,221,Colleen Wilcox,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,LX 788,Central,Illinois,Oak Lawn,2012-08-31,2012-01-09,15,87232,2339.8500000000004,2348.84
Not Specified,33.94,19.19,221,Colleen Wilcox,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Central,Illinois,Oak Lawn,2013-06-27,2013-06-29,8,87233,271.52,290.71
Critical,130.98,54.74,223,Joe Nicholson,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",West,California,Pico Rivera,2012-11-01,2012-01-13,13,88530,1702.7399999999998,1757.4799999999998
Critical,30.97,4.0,223,Joe Nicholson,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Microsoft Multimedia Keyboard,West,California,Pico Rivera,2012-11-01,2012-11-01,6,88530,185.82,189.82
Critical,7.98,6.5,224,Evan Currie,Regular Air,Small Business,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,East,Massachusetts,Canton,2012-02-18,2012-02-21,2,88532,15.96,22.46
High,105.98,13.99,225,Hazel Britt,Regular Air,Small Business,Furniture,Office Furnishings,Medium Box,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",East,Massachusetts,Norton,2012-01-31,2012-01-02,1,88531,105.98,119.97
Medium,4.28,5.74,226,Heather Fleming,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1953,East,New Hampshire,Derry,2013-12-05,2013-12-05,16,88533,68.48,74.22
High,7.08,2.35,227,Stacey Glenn,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,East,New Jersey,Newark,2012-01-31,2012-01-02,3,88531,21.240000000000002,23.590000000000003
Medium,60.89,32.41,228,Colleen Andrews,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Push Button Manager's Chair, Indigo",South,North Carolina,Mint Hill,2010-02-04,2010-03-04,7,88527,426.23,458.64
Medium,6.48,5.74,228,Colleen Andrews,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1994,South,North Carolina,Mint Hill,2011-01-14,2011-01-17,8,88528,51.84,57.580000000000005
Low,65.99,8.99,228,Colleen Andrews,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,5180,South,North Carolina,Mint Hill,2011-09-22,2011-09-24,21,88529,1385.79,1394.78
Critical,81.94,55.81,230,Jack Horne,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,O'Sullivan 5-Shelf Heavy-Duty Bookcases,West,Utah,Murray,2012-05-01,2012-06-01,1,91309,81.94,137.75
Critical,37.94,5.08,230,Jack Horne,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",West,Utah,Murray,2012-05-01,2012-07-01,4,91309,151.76,156.84
High,14.48,1.99,232,Sandy Holmes,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,TDK 4.7GB DVD+RW,Central,Illinois,Oak Park,2011-04-08,2011-04-08,1,90240,14.48,16.47
High,99.99,19.99,232,Sandy Holmes,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,U.S. Robotics 56K Internet Call Modem,Central,Illinois,Oak Park,2011-04-08,2011-06-08,12,90240,1199.8799999999999,1219.87
High,4.98,4.86,232,Sandy Holmes,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 190,Central,Illinois,Oak Park,2011-04-08,2011-06-08,1,90240,4.98,9.84
Not Specified,19.98,5.77,232,Sandy Holmes,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox Blank Computer Paper,Central,Illinois,Oak Park,2012-08-19,2012-08-21,10,90241,199.8,205.57000000000002
Medium,5.8100000000000005,8.49,233,Michele Bullard,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes Black Plastic Comb Bindings,Central,Illinois,Orland Park,2010-02-20,2010-02-22,10,90237,58.10000000000001,66.59
Medium,9.65,6.22,233,Michele Bullard,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Central,Illinois,Orland Park,2010-02-20,2010-02-21,12,90237,115.80000000000001,122.02000000000001
Critical,279.81,23.19,234,Don Cameron,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Central,Iowa,Newton,2010-05-02,2010-06-02,6,90236,1678.8600000000001,1702.0500000000002
High,28.53,1.49,234,Don Cameron,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Lock-Up Easel 'Spel-Binder',Central,Iowa,Newton,2010-03-27,2010-03-29,7,90238,199.71,201.20000000000002
High,15.28,1.99,234,Don Cameron,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+R, 3/Pack",Central,Iowa,Newton,2010-03-27,2010-03-29,2,90238,30.56,32.55
Low,3.34,7.49,234,Don Cameron,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Central,Iowa,Newton,2010-04-28,2010-04-30,8,90239,26.72,34.21
High,11.97,4.98,234,Don Cameron,Regular Air,Small Business,Office Supplies,Appliances,Small Box,Staples 6 Outlet Surge,Central,Iowa,Newton,2013-03-27,2013-03-29,6,90242,71.82000000000001,76.80000000000001
Low,6.48,5.19,234,Don Cameron,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1995,Central,Iowa,Newton,2013-06-08,2013-10-08,5,90243,32.400000000000006,37.59
Not Specified,442.14,14.7,236,Shawn McIntyre,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Okidata ML390 Turbo Dot Matrix Printers,West,Colorado,Louisville,2010-02-22,2010-02-22,10,86621,4421.4,4436.099999999999
High,65.99,8.99,236,Shawn McIntyre,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,Talkabout T8367,West,Colorado,Louisville,2012-03-09,2012-04-09,4,86624,263.96,272.95
High,60.22,3.5,236,Shawn McIntyre,Regular Air,Corporate,Office Supplies,Appliances,Small Box,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",West,Colorado,Louisville,2013-02-18,2013-02-19,9,86625,541.98,545.48
Not Specified,8.75,8.54,236,Shawn McIntyre,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,"Eldon® 400 Class™ Desk Accessories, Black Carbon",West,Colorado,Louisville,2013-06-07,2013-07-07,14,86627,122.5,131.04
Low,6.48,7.37,236,Shawn McIntyre,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 210,West,Colorado,Louisville,2013-09-22,2013-09-27,13,86628,84.24000000000001,91.61000000000001
Low,59.98,3.99,237,Amanda Helms,Express Air,Consumer,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Central,Kansas,Overland Park,2012-01-03,2012-06-03,6,86622,359.88,363.87
Low,14.58,7.4,237,Amanda Helms,Express Air,Consumer,Furniture,Office Furnishings,Small Box,DAX Clear Channel Poster Frame,Central,Kansas,Overland Park,2012-01-03,2012-03-03,7,86622,102.06,109.46000000000001
High,11.48,5.43,238,Tamara Fischer,Regular Air,Corporate,Office Supplies,Paper,Small Box,Personal Creations™ Ink Jet Cards and Labels,Central,Kansas,Shawnee,2012-08-25,2012-08-26,1,86623,11.48,16.91
High,6.68,5.66,238,Tamara Fischer,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1923,Central,Kansas,Shawnee,2012-08-25,2012-08-26,5,86623,33.4,39.06
Not Specified,40.97,14.45,238,Tamara Fischer,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Dana Halogen Swing-Arm Architect Lamp,Central,Kansas,Shawnee,2013-05-05,2013-07-05,10,86626,409.7,424.15
Medium,19.98,5.77,240,Gilbert Scarborough,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox Blank Computer Paper,West,Colorado,Fountain,2010-04-20,2010-04-20,3,90479,59.94,65.71
Medium,39.98,4.0,240,Gilbert Scarborough,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Microsoft Natural Keyboard Elite,West,Colorado,Fountain,2011-01-31,2011-02-02,9,90481,359.82,363.82
Critical,2.18,1.38,240,Gilbert Scarborough,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Push Pins,West,Colorado,Fountain,2011-01-31,2011-01-02,9,90481,19.62,21.0
Medium,115.99,3.0,240,Gilbert Scarborough,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,V66,West,Colorado,Fountain,2013-01-18,2013-01-20,12,90484,1391.8799999999999,1394.8799999999999
Not Specified,279.48,35.0,240,Gilbert Scarborough,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",West,Colorado,Fountain,2013-09-19,2013-09-20,14,90486,3912.7200000000003,3947.7200000000003
Medium,259.71,66.67,241,Amy Ellis Holder,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,"Bevis Round Bullnose 29"" High Table Top",West,Colorado,Grand Junction,2010-04-20,2010-04-21,11,90479,2856.81,2923.48
Low,5.94,9.92,241,Amy Ellis Holder,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Storex Dura Pro™ Binders,West,Colorado,Grand Junction,2010-05-26,2010-02-06,13,90480,77.22,87.14
Low,125.99,3.0,241,Amy Ellis Holder,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,270c,West,Colorado,Grand Junction,2010-05-26,2010-05-26,8,90480,1007.92,1010.92
Medium,15.98,4.0,241,Amy Ellis Holder,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,West,Colorado,Grand Junction,2012-03-03,2012-04-03,11,90483,175.78,179.78
High,499.99,24.49,241,Amy Ellis Holder,Regular Air,Small Business,Technology,Copiers and Fax,Large Box,Sharp AL-1530CS Digital Copier,West,Colorado,Grand Junction,2013-09-04,2013-10-04,3,90485,1499.97,1524.46
High,18.65,3.77,242,Betsy Hendricks,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,3M Polarizing Light Filter Sleeves,West,Colorado,Greeley,2011-01-05,2011-01-05,7,90482,130.54999999999998,134.32
Medium,2.88,1.49,242,Betsy Hendricks,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,West,Colorado,Greeley,2013-10-25,2013-10-27,21,90487,60.48,61.97
Low,10.06,2.06,244,Marie Fitzgerald,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,South,Tennessee,Farragut,2013-10-18,2013-10-22,17,86720,171.02,173.08
Critical,8.46,3.62,245,Julie Pruitt,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Central,Texas,Deer Park,2013-02-19,2013-02-21,10,86718,84.60000000000001,88.22000000000001
High,48.58,54.11,245,Julie Pruitt,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Central,Texas,Deer Park,2013-05-09,2013-06-09,21,86719,1020.18,1074.29
Critical,51.98,10.17,245,Julie Pruitt,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Central,Texas,Deer Park,2013-12-24,2013-12-26,16,86721,831.68,841.8499999999999
Critical,218.75,69.64,245,Julie Pruitt,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Central,Texas,Deer Park,2013-12-24,2013-12-26,16,86721,3500.0,3569.64
Medium,146.05,80.2,247,Marshall Brandt Briggs,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,BPI Conference Tables,South,Tennessee,Maryville,2010-08-23,2010-08-23,5,89139,730.25,810.45
Medium,65.99,5.92,247,Marshall Brandt Briggs,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,252,South,Tennessee,Maryville,2010-08-23,2010-08-24,14,89139,923.8599999999999,929.7799999999999
Medium,2.88,0.99,247,Marshall Brandt Briggs,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 514,South,Tennessee,Maryville,2010-09-21,2010-09-23,10,89140,28.799999999999997,29.789999999999996
High,6.48,6.74,247,Marshall Brandt Briggs,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 215,South,Tennessee,Maryville,2013-01-13,2013-01-15,10,89145,64.80000000000001,71.54
Medium,35.99,1.1,248,Anthony Han,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Accessory35,South,Tennessee,Memphis,2011-04-22,2011-04-23,5,89141,179.95000000000002,181.05
High,2.7800000000000002,1.34,248,Anthony Han,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Drawing Pencil Set,South,Tennessee,Memphis,2012-05-19,2012-05-19,17,89142,47.260000000000005,48.60000000000001
Medium,22.23,8.99,248,Anthony Han,Express Air,Corporate,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",South,Tennessee,Memphis,2012-06-22,2012-06-25,9,89143,200.07,209.06
Not Specified,9.11,2.15,248,Anthony Han,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",South,Tennessee,Memphis,2012-12-18,2012-12-19,1,89144,9.11,11.26
High,125.99,7.69,248,Anthony Han,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Timeport L7089,South,Tennessee,Memphis,2013-01-13,2013-01-15,13,89145,1637.87,1645.56
Critical,2.58,1.3,250,Brenda Nelson Blanchard,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,DIXON Oriole® Pencils,Central,Minnesota,Richfield,2010-11-28,2010-11-29,39,87214,100.62,101.92
